,uri,rank,date
126,7Cj7gEzH73lrwUD4x5JpAs,28.0,1960-05-21 00:00:00
127,54cJ6nIVHYwa7VuI7oau43,12.0,1960-06-04 00:00:00
128,7aPXVyesWtk3Mt1PeNxzhd,34.0,1960-05-14 00:00:00
129,0X3DI3v2RXnOa7JbYolPlR,28.0,1960-05-28 00:00:00
130,2kYEqODFxciJLQyrWLzpYV,23.0,1960-05-28 00:00:00
131,5ekabwI9PFHbfc0hz6n1xi,18.0,1960-06-11 00:00:00
132,6jdONXtmF2ZmLyRgZfwDRj,1.0,1960-07-09 00:00:00
133,2V0U78Xx4KY843bJbuq586,5.0,1960-06-25 00:00:00
134,2g2GkH3vZHk4lWzBjgQ6nY,12.0,1960-07-09 00:00:00
135,4HRbkDDaYZVAXya3nogMKy,29.0,1960-06-04 00:00:00
136,1mEGgk5PexHpJdPJco5M3A,10.0,1960-06-18 00:00:00
137,362rjZjs2YZyzKPO5qFuru,22.0,1960-06-25 00:00:00
138,2xegcxwYvqJa791sbKaf6q,29.0,1960-06-11 00:00:00
139,3oV8yQovrEKKBBDNWj4wGL,28.0,1960-06-25 00:00:00
140,6IHmLFjzblJbNswndxldtp,32.0,1960-06-11 00:00:00
141,77TCV9thMg3XXDMZ2mxr6F,27.0,1960-07-09 00:00:00
142,0MjFeDnntSSojzsEgVrn97,33.0,1960-06-11 00:00:00
143,39RBKbmTlwvbKMQ6lVFtja,4.0,1960-07-16 00:00:00
144,21lxB9D4b5JKti5WZXrW8x,19.0,1960-06-25 00:00:00
145,6H8M8oMiheCp9ewSKVHNvM,7.0,1960-07-02 00:00:00
146,75wzEkDy6NnSj692dA99ip,8.0,1960-07-16 00:00:00
147,1gVmuHCRIgBfmCCRCbX8Um,1.0,1960-08-06 00:00:00
148,3oyXaWaBDXy9Q1POBe7T7p,33.0,1960-06-18 00:00:00
149,39YlZt5KoW0viJKKRyUvbT,18.0,1960-07-09 00:00:00
150,2g4iktpUMzofNGi2pVdLns,1.0,1960-07-16 00:00:00
151,2YsNLEBGS9LP0mtcDY3GnR,5.0,1960-07-16 00:00:00
152,3co2MWEQsJpOwMWYFEpQ87,15.0,1960-07-16 00:00:00
153,4o9fGL5BfhAjBDxvziWRt2,8.0,1960-08-06 00:00:00
154,6SI0GacLVtXOgvCSKpaXqo,19.0,1960-07-09 00:00:00
155,0nqrFGunwK8WHMN2lIUt8b,2.0,1960-07-30 00:00:00
156,2gnw1mYFp0tlAkZwj7oDnN,6.0,1960-07-23 00:00:00
157,6GO5AFVHPhCUa1c2T2ihbo,35.0,1960-07-16 00:00:00
158,4B0HVSoXcr010zELW6APFe,24.0,1960-07-23 00:00:00
159,3Uw68N09eLlFFwlsVqupCM,23.0,1960-07-16 00:00:00
160,7o8XNGrG36LMXy3PCyf98e,35.0,1960-07-02 00:00:00
161,01bW2BHhwZyggyAhj9dwXq,8.0,1960-07-23 00:00:00
162,1EwpgXlVIzs1E7XBZoRVQl,7.0,1960-08-06 00:00:00
